territory_id,island,year,attempted,egg_count,incubation_days,female_incubation_share_pct,hatched,fledged,climate_anomaly,forest_integrity,fragmentation_index,human_pressure,canopy_integrity,prey_index,persecution_risk,protected,risk_score
MI-001,Mindanao,2010,1,1,60.73974404178224,67.58742012192369,0,0,-0.020832279800319285,0.383566395555246,0.6144813090202448,0.48705400694989565,0.3307574443352376,0.5809892491446613,0.434485667047775,0,55.650105655482406
MI-001,Mindanao,2012,0,0,,,0,0,0.01707249735348599,0.383566395555246,0.6144813090202448,0.48705400694989565,0.3307574443352376,0.5809892491446613,0.434485667047775,0,55.650105655482406
MI-001,Mindanao,2014,1,1,57.54477116765554,78.27794594246843,0,0,1.0259004266066087,0.383566395555246,0.6144813090202448,0.48705400694989565,0.3307574443352376,0.5809892491446613,0.434485667047775,0,55.650105655482406
MI-001,Mindanao,2016,0,0,,,0,0,0.6879962413307313,0.383566395555246,0.6144813090202448,0.48705400694989565,0.3307574443352376,0.5809892491446613,0.434485667047775,0,55.650105655482406
MI-001,Mindanao,2018,0,0,,,0,0,-0.46469732873953634,0.383566395555246,0.6144813090202448,0.48705400694989565,0.3307574443352376,0.5809892491446613,0.434485667047775,0,55.650105655482406
MI-001,Mindanao,2020,1,1,57.97273136657764,72.51658418241085,1,0,-0.42787453391728963,0.383566395555246,0.6144813090202448,0.48705400694989565,0.3307574443352376,0.5809892491446613,0.434485667047775,0,55.650105655482406
MI-001,Mindanao,2022,1,1,55.468939471347404,61.166253100584335,0,0,0.2711072991431403,0.383566395555246,0.6144813090202448,0.48705400694989565,0.3307574443352376,0.5809892491446613,0.434485667047775,0,55.650105655482406
MI-001,Mindanao,2024,1,1,62.595980670495805,81.84859610000532,1,1,-0.7249754254601761,0.383566395555246,0.6144813090202448,0.48705400694989565,0.3307574443352376,0.5809892491446613,0.434485667047775,0,55.650105655482406
MI-001,Mindanao,2026,1,1,55.54670740455743,60.42649001632165,1,1,-0.3585382634587414,0.383566395555246,0.6144813090202448,0.48705400694989565,0.3307574443352376,0.5809892491446613,0.434485667047775,0,55.650105655482406
MI-002,Mindanao,2010,1,1,56.699765852247474,81.87575701059716,1,1,0.9923449109460729,0.7765362203172695,0.24787096449335094,0.28580076382761144,0.8243096034902457,0.9246256026526325,0.18199681555342465,1,11.835072692769238
