individual_id,island,sex,heterozygosity,ROH_fraction_proxy,kinship_axis_1,kinship_axis_2
GE-01,Mindanao,Female,0.000207,0.36747104809543696,0.5340529847479174,-0.1253790156717858
GE-02,Luzon,Female,0.0002698469585637755,0.256528962633565,0.8421637359392603,0.7155149407337615
GE-03,Mindanao,Female,0.0003099467026391946,0.22362615846050357,0.4200220914435229,-0.20882905552212344
GE-04,Luzon,Female,0.00026980500318451393,0.2915693414833554,-0.18682219409314682,0.9389172938653666
GE-05,Leyte,Female,0.0003830964208765082,0.14497003056307234,-0.39249770539764944,-0.5363855172591978
GE-06,Mindanao,Female,0.0003437758526403228,0.19128193118985293,-0.7934362032131336,-0.551297637863912
GE-07,Mindanao,Female,0.00030410547774872246,0.26184903342078764,-0.27237225842521484,0.10075613490541818
GE-08,Samar,Female,0.00046818278881551246,0.10735503328304831,-1.4730635361213016,-0.08662140991943874
GE-09,Mindanao,Female,0.00031008752981474065,0.2439099697941093,-1.3687744562830333,0.3891669490944819
GE-10,Mindanao,Female,0.00029766585804584533,0.22567032458515326,1.4897770125627274,-0.9992736222898444
GE-11,Mindanao,Female,0.00039762247017074146,0.1299602179676188,-0.5165473951016849,-2.2820054384303448
GE-12,Leyte,Female,0.00025304446617877637,0.25113439878680943,-0.21743161124625315,-0.7689007314569241
GE-13,Samar,Female,0.00027796043820054893,0.2878321889751159,-0.970693705870386,0.5909057673764166
GE-14,Luzon,Female,0.0003207115313133744,0.19543232858515958,0.9084407788051304,-0.14214061950732185
GE-15,Mindanao,Female,0.00031722983330884677,0.224403668998069,1.2784262339714079,0.33538323915991985
GE-16,Samar,Female,0.0002748464545683904,0.286406171208871,2.386498024049666,1.1049754613120888
GE-17,Mindanao,Female,0.0003581096306263283,0.19058294501914444,0.558511063281036,-1.5773181689700808
GE-18,Mindanao,Female,0.0003053474500373792,0.2719007067558446,-1.1318811728011744,1.6416325549868127
GE-19,Mindanao,Male,0.000207,0.2918772848077292,0.8826659155844991,1.2385892332457618
GE-20,Mindanao,Male,0.0002650802839369296,0.2902859582977409,-0.2752549216509262,0.057582388729826434
GE-21,Leyte,Male,0.00033512007414680865,0.2136687999392251,-0.3262697494568337,0.0689951582605989
GE-22,Mindanao,Male,0.0003499362167109994,0.1942909194893838,-1.0894583613170992,0.2913272962520723
GE-23,Luzon,Male,0.0002459328318971369,0.2744295565991061,-1.027717206228739,-0.23613668514071853
GE-24,Mindanao,Male,0.0002915166143854957,0.26896830114095244,0.24967723476033032,-1.1431213097755042
GE-25,Luzon,Male,0.00033418903346929676,0.23534419165453885,-0.10975519689986417,0.8808339690955349
GE-26,Mindanao,Male,0.00030398724287196963,0.275207155620869,-0.0035836878327410943,0.3979332245536804
GE-27,Mindanao,Male,0.00023202837561520217,0.31917558864483425,0.09677982560617589,-0.549703924092437
GE-28,Mindanao,Male,0.0002683747335308896,0.27226419919514533,0.7491361111782998,0.5852877674428628
GE-29,Samar,Male,0.000351738006637504,0.21980270472325938,0.09483574995864677,-0.008185116480999625
GE-30,Mindanao,Male,0.00024294871438524334,0.2761575399866146,0.9129411053524675,0.9588695716648811
GE-31,Luzon,Male,0.0003231159625174929,0.18057225387069897,-0.013513863412680856,0.42689256090017796
GE-32,Luzon,Male,0.0003353679607097611,0.24881558298651527,0.8794477074958381,-0.9251926080705629
GE-33,Mindanao,Male,0.00029431559246568325,0.2607879017308676,0.8496652819655022,-0.807772700642404
GE-34,Mindanao,Male,0.00036449085591373656,0.17536572290663194,-0.45952158951333805,-2.055431818594213
GE-35,Mindanao,Male,0.00040147263407232724,0.1612863968736518,-0.6130835551593715,-1.319633758891776
